meta.config,problem.n,problem.nb,meta.cycle,distr.procs,distr.hosts,stc.code,stc.mpi,stc.mpic,result.time
hpl,2500000000,65540,1.0,64,8,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,77.12
hpl,1600000000,1048580,1.0,16,2,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,139.17
hpl,100000000,262140,1.0,64,8,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,3.43
hpl,1600000000,1048580,1.0,36,4,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,115.96
hpl,900000000,1048580,1.0,36,4,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,54.68
hpl,400000000,262140,1.0,36,4,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,15.41
hpl,1600000000,65540,1.0,64,8,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,48.23
hpl,400000000,1048580,1.0,36,4,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,21.3
hpl,400000000,262140,1.0,16,2,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,19.05
hpl,900000000,65540,1.0,64,8,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,22.81
hpl,1600000000,262140,1.0,16,2,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,118.95
hpl,1600000000,65540,1.0,36,4,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,70.36
hpl,2500000000,65540,1.0,16,2,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,174.62
hpl,2500000000,65540,1.0,16,2,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,177.59
hpl,400000000,1048580,1.0,16,2,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,24.09
hpl,400000000,262140,1.0,64,8,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,11.68
hpl,2500000000,1048580,1.0,36,4,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,154.71
hpl,100000000,262140,1.0,36,4,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,4.14
hpl,1600000000,262140,1.0,64,8,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,54.48
hpl,2500000000,1048580,1.0,64,8,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,149.64
hpl,100000000,262140,1.0,36,4,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,4.13
hpl,900000000,262140,1.0,36,4,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,39.4
hpl,900000000,1048580,1.0,64,8,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,34.93
hpl,100000000,262140,1.0,16,2,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,4.02
hpl,2500000000,262140,1.0,36,4,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,128.07
hpl,100000000,65540,1.0,36,4,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,3.31
hpl,2500000000,65540,1.0,64,8,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,75.76
hpl,100000000,1048580,1.0,16,2,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,5.74
hpl,100000000,65540,1.0,64,8,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,2.48
hpl,1600000000,262140,1.0,16,2,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,120.42
hpl,100000000,262140,1.0,64,8,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,3.41
hpl,1600000000,65540,1.0,64,8,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,47.52
hpl,1600000000,262140,1.0,64,8,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,55.18
