type,np,sz,time
allgather,12,128,5057.82
allgather,12,256,5493.67
allgather,12,512,3953.12
allgather,12,1024,7284.10
allgather,12,2048,7216.96
allgather,12,4096,6321.53
allgather,12,8192,8276.75
allgather,12,16384,11328.31
allgather,12,32768,21389.10
allgather,12,65536,35926.04
allgather,12,131072,26817.24
allgather,24,128,17266.67
allgather,24,256,18353.38
allgather,24,512,16947.87
allgather,24,1024,17395.42
allgather,24,2048,18460.92
allgather,24,4096,43578.39
allgather,24,8192,41860.23
allgather,24,16384,32075.86
allgather,24,32768,37700.38
allgather,24,65536,41217.12
allgather,24,131072,45569.77
allgather,48,128,17595.81
allgather,48,256,19608.16
allgather,48,512,20482.89
allgather,48,1024,21517.00
allgather,48,2048,69789.49
allgather,48,4096,70095.05
allgather,48,8192,52880.23
allgather,48,16384,87657.25
allgather,48,32768,85198.53
allgather,48,65536,80570.39
allgather,48,131072,110323.24
allgatherv,12,128,6126.48
allgatherv,12,256,5558.81
allgatherv,12,512,4890.89
allgatherv,12,1024,6743.74
allgatherv,12,2048,6857.48
allgatherv,12,4096,8235.62
allgatherv,12,8192,11685.79
allgatherv,12,16384,13081.31
allgatherv,12,32768,16209.74
allgatherv,12,65536,25431.33
allgatherv,12,131072,31589.80
allgatherv,24,128,18209.04
allgatherv,24,256,17955.14
allgatherv,24,512,18252.86
allgatherv,24,1024,18116.33
allgatherv,24,2048,18858.53
allgatherv,24,4096,42151.19
allgatherv,24,8192,36135.21
allgatherv,24,16384,33735.52
allgatherv,24,32768,40890.49
allgatherv,24,65536,45534.26
allgatherv,24,131072,53262.19
allgatherv,48,128,16517.62
allgatherv,48,256,20548.72
allgatherv,48,512,20688.86
allgatherv,48,1024,21983.13
allgatherv,48,2048,71498.51
allgatherv,48,4096,72001.67
allgatherv,48,8192,49638.55
allgatherv,48,16384,75403.25
allgatherv,48,32768,68477.54
allgatherv,48,65536,79797.24
allgatherv,48,131072,102357.90
allreduce,12,128,5693.32
allreduce,12,256,4191.01
allreduce,12,512,6253.23
allreduce,12,1024,6151.03
allreduce,12,2048,6002.86
allreduce,12,4096,7744.59
allreduce,12,8192,7708.42
allreduce,12,16384,10792.25
allreduce,12,32768,13801.23
allreduce,12,65536,14235.25
allreduce,12,131072,14757.70
allreduce,24,128,19618.48
allreduce,24,256,19095.40
allreduce,24,512,15627.68
allreduce,24,1024,17542.41
allreduce,24,2048,16591.88
allreduce,24,4096,19375.26
allreduce,24,8192,20403.31
allreduce,24,16384,32539.15
allreduce,24,32768,33083.20
allreduce,24,65536,31874.86
allreduce,24,131072,33230.00
allreduce,48,128,17547.93
allreduce,48,256,19088.87
allreduce,48,512,19110.97
allreduce,48,1024,18487.99
allreduce,48,2048,22170.12
allreduce,48,4096,21536.81
allreduce,48,8192,37901.35
allreduce,48,16384,37836.80
allreduce,48,32768,39100.68
allreduce,48,65536,38363.52
allreduce,48,131072,39970.71
alltoall,12,128,5443.01
alltoall,12,256,5801.14
alltoall,12,512,4425.01
alltoall,12,1024,5614.08
alltoall,12,2048,6994.83
alltoall,12,4096,7071.51
alltoall,12,8192,7916.22
alltoall,12,16384,10038.37
alltoall,12,32768,12646.98
alltoall,12,65536,20259.94
alltoall,12,131072,38934.46
alltoall,24,128,12782.57
alltoall,24,256,12674.15
alltoall,24,512,13100.75
alltoall,24,1024,12737.27
alltoall,24,2048,13115.15
alltoall,24,4096,13460.24
alltoall,24,8192,13851.21
alltoall,24,16384,19840.14
alltoall,24,32768,38230.50
alltoall,24,65536,74954.69
alltoall,24,131072,148649.95
alltoall,48,128,16087.00
alltoall,48,256,25858.98
alltoall,48,512,24745.25
alltoall,48,1024,24317.34
alltoall,48,2048,24976.81
alltoall,48,4096,27748.51
alltoall,48,8192,43070.88
alltoall,48,16384,78612.21
alltoall,48,32768,153132.48
alltoall,48,65536,298003.68
alltoall,48,131072,592123.99
alltoallv,12,128,5809.28
alltoallv,12,256,5387.82
alltoallv,12,512,5290.49
alltoallv,12,1024,6738.73
alltoallv,12,2048,6951.12
alltoallv,12,4096,7228.27
alltoallv,12,8192,8180.62
alltoallv,12,16384,10822.16
alltoallv,12,32768,13409.27
alltoallv,12,65536,20446.98
alltoallv,12,131072,39366.77
alltoallv,24,128,12966.94
alltoallv,24,256,12963.12
alltoallv,24,512,12997.00
alltoallv,24,1024,13028.47
alltoallv,24,2048,13219.70
alltoallv,24,4096,13694.75
alltoallv,24,8192,14751.44
alltoallv,24,16384,20618.75
alltoallv,24,32768,39090.13
alltoallv,24,65536,75565.04
alltoallv,24,131072,148916.91
alltoallv,48,128,22753.64
alltoallv,48,256,23914.23
alltoallv,48,512,24303.72
alltoallv,48,1024,24571.80
alltoallv,48,2048,25530.45
alltoallv,48,4096,27037.56
alltoallv,48,8192,41083.63
alltoallv,48,16384,76478.20
alltoallv,48,32768,150562.71
alltoallv,48,65536,297065.37
alltoallv,48,131072,593101.99
bcast,12,128,2548.40
bcast,12,256,383.21
bcast,12,512,510.70
bcast,12,1024,1797.73
bcast,12,2048,1818.16
bcast,12,4096,1897.96
bcast,12,8192,1192.77
bcast,12,16384,1845.10
bcast,12,32768,1807.42
bcast,12,65536,2510.99
bcast,12,131072,4658.31
bcast,24,128,11532.28
bcast,24,256,10046.67
bcast,24,512,7234.30
bcast,24,1024,7705.00
bcast,24,2048,10572.49
bcast,24,4096,10583.98
bcast,24,8192,11479.13
bcast,24,16384,10988.72
bcast,24,32768,10630.76
bcast,24,65536,10668.33
bcast,24,131072,10829.71
bcast,48,128,3111.15
bcast,48,256,8218.92
bcast,48,512,9017.45
bcast,48,1024,7882.63
bcast,48,2048,8941.44
bcast,48,4096,6719.92
bcast,48,8192,11640.68
bcast,48,16384,12836.25
bcast,48,32768,12790.56
bcast,48,65536,12880.15
bcast,48,131072,14267.61
gather,12,128,1099.17
gather,12,256,857.78
gather,12,512,1286.65
gather,12,1024,494.80
gather,12,2048,267.92
gather,12,4096,707.13
gather,12,8192,650.64
gather,12,16384,693.03
gather,12,32768,953.68
gather,12,65536,1019.46
gather,12,131072,1429.53
gather,24,128,2406.85
gather,24,256,2209.82
gather,24,512,1967.56
gather,24,1024,569.28
gather,24,2048,590.71
gather,24,4096,623.86
gather,24,8192,685.38
gather,24,16384,669.16
gather,24,32768,732.49
gather,24,65536,744.62
gather,24,131072,1022.37
gather,48,128,1231.69
gather,48,256,2006.88
gather,48,512,2149.72
gather,48,1024,2172.25
gather,48,2048,379.53
gather,48,4096,402.15
gather,48,8192,389.19
gather,48,16384,435.82
gather,48,32768,440.71
gather,48,65536,568.60
gather,48,131072,6019.63
gatherv,12,128,1532.86
gatherv,12,256,1483.60
gatherv,12,512,1592.07
gatherv,12,1024,1739.89
gatherv,12,2048,1983.85
gatherv,12,4096,2336.44
gatherv,12,8192,2368.18
gatherv,12,16384,3748.35
gatherv,12,32768,4670.92
gatherv,12,65536,6429.42
gatherv,12,131072,9224.25
gatherv,24,128,1485.09
gatherv,24,256,2426.22
gatherv,24,512,2599.55
gatherv,24,1024,3283.38
gatherv,24,2048,3525.88
gatherv,24,4096,3787.61
gatherv,24,8192,3890.59
gatherv,24,16384,4727.48
gatherv,24,32768,5657.50
gatherv,24,65536,8419.69
gatherv,24,131072,13069.07
gatherv,48,128,2039.98
gatherv,48,256,2389.98
gatherv,48,512,2539.36
gatherv,48,1024,3446.96
gatherv,48,2048,4218.89
gatherv,48,4096,4121.25
gatherv,48,8192,4376.02
gatherv,48,16384,6606.14
gatherv,48,32768,8666.91
gatherv,48,65536,13899.85
gatherv,48,131072,25782.83
reduce,12,128,1812.96
reduce,12,256,2012.40
reduce,12,512,2171.87
reduce,12,1024,1057.25
reduce,12,2048,1925.16
reduce,12,4096,1372.29
reduce,12,8192,1082.23
reduce,12,16384,1649.11
reduce,12,32768,6945.60
reduce,12,65536,7277.46
reduce,12,131072,3579.07
reduce,24,128,9005.53
reduce,24,256,9752.14
reduce,24,512,9209.29
reduce,24,1024,11350.97
reduce,24,2048,9278.99
reduce,24,4096,8474.04
reduce,24,8192,9237.14
reduce,24,16384,10297.59
reduce,24,32768,13131.54
reduce,24,65536,13155.70
reduce,24,131072,6985.13
reduce,48,128,8349.89
reduce,48,256,11537.41
reduce,48,512,11807.52
reduce,48,1024,12063.52
reduce,48,2048,12450.76
reduce,48,4096,12417.49
reduce,48,8192,11278.62
reduce,48,16384,10313.77
reduce,48,32768,13596.28
reduce,48,65536,13932.71
reduce,48,131072,12291.02
reduce_scatter,12,128,4883.93
reduce_scatter,12,256,4748.92
reduce_scatter,12,512,4825.85
reduce_scatter,12,1024,2546.53
reduce_scatter,12,2048,3081.62
reduce_scatter,12,4096,5618.97
reduce_scatter,12,8192,5982.49
reduce_scatter,12,16384,6600.41
reduce_scatter,12,32768,8243.65
reduce_scatter,12,65536,9951.64
reduce_scatter,12,131072,11255.38
reduce_scatter,24,128,18519.06
reduce_scatter,24,256,16510.47
reduce_scatter,24,512,16302.41
reduce_scatter,24,1024,15927.35
reduce_scatter,24,2048,15390.69
reduce_scatter,24,4096,14618.53
reduce_scatter,24,8192,13648.46
reduce_scatter,24,16384,13684.88
